id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,I want an authentic Italian pasta dish with a creamy sauce
5,Can you suggest a spicy Thai curry that isn't too complicated?
6,I need a gluten-free breakfast idea that's filling and high in protein
7,What can I make with chicken and rice and broccoli?
8,Give me a quick lunch recipe I can meal prep for work
9,I'm looking for an easy romantic dinner for two under an hour
10,What's a healthy snack I can make for my kids after school?
11,I need a recipe that takes less than 15 minutes — I'm in a rush
12,I've never baked before. What's a good beginner-friendly recipe?
13,I'm hungry
14,Suggest a traditional Mexican dish that uses beans and corn
15,I'm vegan and allergic to nuts — what can I have for dessert?
16,What should I cook?
